Time(s),CH1(V),CH2(V),CH3(V)
-4.9000E-08,0.000000E+00,8.636639E-02,2.205160E-03
-4.8500E-08,-8.547080E-02,8.636639E-02,4.410320E-03
-4.8000E-08,-8.547080E-02,8.636639E-02,2.205160E-03
-4.7500E-08,0.000000E+00,8.636639E-02,2.205160E-03
-4.7000E-08,0.000000E+00,8.636639E-02,0.000000E+00
-4.6500E-08,0.000000E+00,8.636639E-02,-2.205160E-03
-4.6000E-08,0.000000E+00,8.636639E-02,-2.205160E-03
-4.5500E-08,0.000000E+00,8.636639E-02,0.000000E+00
-4.5000E-08,0.000000E+00,8.636639E-02,0.000000E+00
-4.4500E-08,0.000000E+00,0.000000E+00,-2.205160E-03
-4.4000E-08,-8.547080E-02,8.636639E-02,-4.410320E-03
-4.3500E-08,-8.547080E-02,1.727328E-01,-2.205160E-03
-4.3000E-08,0.000000E+00,8.636639E-02,-4.410320E-03
-4.2500E-08,-8.547080E-02,0.000000E+00,-4.410320E-03
-4.2000E-08,-8.547080E-02,8.636639E-02,-2.205160E-03
-4.1500E-08,0.000000E+00,8.636639E-02,-4.410320E-03
-4.1000E-08,0.000000E+00,1.727328E-01,-4.410320E-03
-4.0500E-08,0.000000E+00,8.636639E-02,-2.205160E-03
-4.0000E-08,8.547080E-02,0.000000E+00,-4.410320E-03
-3.9500E-08,8.547080E-02,8.636639E-02,-4.410320E-03
-3.9000E-08,0.000000E+00,8.636639E-02,-6.615480E-03
-3.8500E-08,0.000000E+00,8.636639E-02,-2.205160E-03
-3.8000E-08,0.000000E+00,8.636639E-02,-4.410320E-03
-3.7500E-08,0.000000E+00,8.636639E-02,-2.205160E-03
-3.7000E-08,0.000000E+00,8.636639E-02,-4.410320E-03
-3.6500E-08,0.000000E+00,8.636639E-02,-6.615480E-03
-3.6000E-08,0.000000E+00,8.636639E-02,-6.615480E-03
-3.5500E-08,0.000000E+00,8.636639E-02,-2.205160E-03
-3.5000E-08,0.000000E+00,8.636639E-02,-6.615480E-03
-3.4500E-08,0.000000E+00,0.000000E+00,-6.615480E-03
-3.4000E-08,0.000000E+00,0.000000E+00,-6.615480E-03
-3.3500E-08,0.000000E+00,0.000000E+00,-6.615480E-03
-3.3000E-08,0.000000E+00,0.000000E+00,-6.615480E-03
-3.2500E-08,0.000000E+00,8.636639E-02,-2.205160E-03
-3.2000E-08,-8.547080E-02,8.636639E-02,-4.410320E-03
-3.1500E-08,-8.547080E-02,8.636639E-02,-4.410320E-03
-3.1000E-08,0.000000E+00,8.636639E-02,-6.615480E-03
-3.0500E-08,-8.547080E-02,8.636639E-02,-6.615480E-03
-3.0000E-08,0.000000E+00,0.000000E+00,-4.410320E-03
-2.9500E-08,0.000000E+00,8.636639E-02,0.000000E+00
-2.9000E-08,0.000000E+00,0.000000E+00,-2.205160E-03
-2.8500E-08,0.000000E+00,-8.636639E-02,0.000000E+00
-2.8000E-08,-8.547080E-02,0.000000E+00,-2.205160E-03
-2.7500E-08,0.000000E+00,0.000000E+00,-2.205160E-03
-2.7000E-08,0.000000E+00,0.000000E+00,2.205160E-03
-2.6500E-08,-8.547080E-02,0.000000E+00,2.205160E-03
-2.6000E-08,0.000000E+00,0.000000E+00,0.000000E+00
-2.5500E-08,0.000000E+00,0.000000E+00,0.000000E+00
-2.5000E-08,0.000000E+00,0.000000E+00,0.000000E+00
-2.4500E-08,8.547080E-02,8.636639E-02,0.000000E+00
-2.4000E-08,0.000000E+00,8.636639E-02,-2.205160E-03
-2.3500E-08,0.000000E+00,8.636639E-02,0.000000E+00
-2.3000E-08,8.547080E-02,0.000000E+00,-2.205160E-03
-2.2500E-08,8.547080E-02,0.000000E+00,-2.205160E-03
-2.2000E-08,0.000000E+00,0.000000E+00,-2.205160E-03
-2.1500E-08,0.000000E+00,0.000000E+00,0.000000E+00
-2.1000E-08,0.000000E+00,0.000000E+00,0.000000E+00
-2.0500E-08,0.000000E+00,0.000000E+00,2.205160E-03
-2.0000E-08,0.000000E+00,0.000000E+00,0.000000E+00
-1.9500E-08,0.000000E+00,0.000000E+00,0.000000E+00
-1.9000E-08,0.000000E+00,8.636639E-02,-4.410320E-03
-1.8500E-08,0.000000E+00,8.636639E-02,0.000000E+00
-1.8000E-08,0.000000E+00,0.000000E+00,0.000000E+00
-1.7500E-08,-8.547080E-02,0.000000E+00,2.205160E-03
-1.7000E-08,-8.547080E-02,8.636639E-02,2.205160E-03
-1.6500E-08,-8.547080E-02,8.636639E-02,-2.205160E-03
-1.6000E-08,-8.547080E-02,0.000000E+00,-2.205160E-03
-1.5500E-08,-8.547080E-02,0.000000E+00,0.000000E+00
-1.5000E-08,-8.547080E-02,8.636639E-02,-2.205160E-03
-1.4500E-08,0.000000E+00,0.000000E+00,-2.205160E-03
-1.4000E-08,0.000000E+00,0.000000E+00,0.000000E+00
-1.3500E-08,0.000000E+00,0.000000E+00,0.000000E+00
-1.3000E-08,0.000000E+00,0.000000E+00,0.000000E+00
-1.2500E-08,0.000000E+00,8.636639E-02,0.000000E+00
-1.2000E-08,-8.547080E-02,1.727328E-01,0.000000E+00
-1.1500E-08,-8.547080E-02,8.636639E-02,0.000000E+00
-1.1000E-08,-8.547080E-02,8.636639E-02,0.000000E+00
-1.0500E-08,-8.547080E-02,8.636639E-02,0.000000E+00
-1.0000E-08,0.000000E+00,8.636639E-02,2.205160E-03
-9.5000E-09,0.000000E+00,8.636639E-02,2.205160E-03
-9.0000E-09,0.000000E+00,8.636639E-02,0.000000E+00
-8.5000E-09,0.000000E+00,8.636639E-02,2.205160E-03
-8.0000E-09,0.000000E+00,0.000000E+00,2.205160E-03
-7.5000E-09,0.000000E+00,0.000000E+00,4.410320E-03
-7.0000E-09,0.000000E+00,8.636639E-02,2.205160E-03
-6.5000E-09,0.000000E+00,8.636639E-02,2.205160E-03
-6.0000E-09,0.000000E+00,0.000000E+00,4.410320E-03
-5.5000E-09,0.000000E+00,8.636639E-02,4.410320E-03
-5.0000E-09,0.000000E+00,8.636639E-02,6.615480E-03
-4.5000E-09,0.000000E+00,8.636639E-02,6.615480E-03
-4.0000E-09,0.000000E+00,8.636639E-02,6.615480E-03
-3.5000E-09,0.000000E+00,0.000000E+00,4.410320E-03
-3.0000E-09,0.000000E+00,8.636639E-02,4.410320E-03
-2.5000E-09,0.000000E+00,1.727328E-01,6.615480E-03
-2.0000E-09,0.000000E+00,3.454656E-01,8.820640E-03
-1.5000E-09,0.000000E+00,6.045647E-01,8.820640E-03
-1.0000E-09,0.000000E+00,8.636639E-01,6.615480E-03
-5.0000E-10,0.000000E+00,1.036397E+00,6.615480E-03
-5.3560E-23,0.000000E+00,1.122763E+00,6.615480E-03
5.0000E-10,-8.547080E-02,1.295496E+00,1.102580E-02
1.0000E-09,-8.547080E-02,1.468229E+00,6.615480E-03
1.5000E-09,0.000000E+00,1.554595E+00,8.820640E-03
2.0000E-09,0.000000E+00,1.554595E+00,1.102580E-02
2.5000E-09,0.000000E+00,1.554595E+00,1.323096E-02
3.0000E-09,0.000000E+00,1.640961E+00,1.102580E-02
3.5000E-09,0.000000E+00,1.813694E+00,1.102580E-02
4.0000E-09,0.000000E+00,1.813694E+00,1.102580E-02
4.5000E-09,0.000000E+00,1.813694E+00,1.102580E-02
5.0000E-09,0.000000E+00,1.900061E+00,1.102580E-02
5.5000E-09,0.000000E+00,1.986427E+00,1.323096E-02
6.0000E-09,-8.547080E-02,2.072793E+00,1.323096E-02
6.5000E-09,-8.547080E-02,2.072793E+00,1.323096E-02
7.0000E-09,-8.547080E-02,2.072793E+00,1.323096E-02
7.5000E-09,-8.547080E-02,1.986427E+00,1.543612E-02
8.0000E-09,0.000000E+00,2.072793E+00,1.323096E-02
8.5000E-09,0.000000E+00,2.159160E+00,1.323096E-02
9.0000E-09,-8.547080E-02,2.159160E+00,1.323096E-02
9.5000E-09,0.000000E+00,2.072793E+00,1.543612E-02
1.0000E-08,0.000000E+00,2.072793E+00,1.323096E-02
1.0500E-08,0.000000E+00,2.072793E+00,1.102580E-02
1.1000E-08,0.000000E+00,2.072793E+00,1.323096E-02
1.1500E-08,0.000000E+00,1.986427E+00,1.323096E-02
1.2000E-08,0.000000E+00,1.986427E+00,1.323096E-02
1.2500E-08,0.000000E+00,2.072793E+00,1.102580E-02
1.3000E-08,0.000000E+00,2.072793E+00,1.323096E-02
1.3500E-08,0.000000E+00,2.072793E+00,1.323096E-02
1.4000E-08,0.000000E+00,1.986427E+00,1.323096E-02
1.4500E-08,0.000000E+00,1.986427E+00,1.984644E-02
1.5000E-08,0.000000E+00,1.986427E+00,1.764128E-02
1.5500E-08,0.000000E+00,1.986427E+00,1.764128E-02
1.6000E-08,0.000000E+00,2.072793E+00,1.764128E-02
1.6500E-08,8.547080E-02,2.072793E+00,1.543612E-02
1.7000E-08,0.000000E+00,2.159160E+00,1.764128E-02
1.7500E-08,0.000000E+00,2.072793E+00,1.764128E-02
1.8000E-08,0.000000E+00,2.072793E+00,1.764128E-02
1.8500E-08,0.000000E+00,2.159160E+00,1.764128E-02
1.9000E-08,8.547080E-02,2.159160E+00,2.205160E-02
1.9500E-08,8.547080E-02,2.159160E+00,1.984644E-02
2.0000E-08,0.000000E+00,2.245526E+00,2.205160E-02
2.0500E-08,0.000000E+00,2.159160E+00,1.984644E-02
2.1000E-08,0.000000E+00,2.072793E+00,2.425676E-02
2.1500E-08,0.000000E+00,2.072793E+00,2.205160E-02
2.2000E-08,0.000000E+00,1.986427E+00,2.205160E-02
2.2500E-08,0.000000E+00,1.986427E+00,1.984644E-02
2.3000E-08,0.000000E+00,2.072793E+00,1.984644E-02
2.3500E-08,-8.547080E-02,2.159160E+00,2.205160E-02
2.4000E-08,-8.547080E-02,2.159160E+00,2.205160E-02
2.4500E-08,0.000000E+00,2.159160E+00,2.425676E-02
2.5000E-08,0.000000E+00,2.159160E+00,2.425676E-02
2.5500E-08,-8.547080E-02,2.159160E+00,2.425676E-02
2.6000E-08,0.000000E+00,2.159160E+00,2.425676E-02
2.6500E-08,0.000000E+00,2.159160E+00,2.205160E-02
2.7000E-08,0.000000E+00,2.159160E+00,2.425676E-02
2.7500E-08,-8.547080E-02,2.159160E+00,2.425676E-02
2.8000E-08,-8.547080E-02,2.159160E+00,2.205160E-02
2.8500E-08,-8.547080E-02,2.159160E+00,2.425676E-02
2.9000E-08,0.000000E+00,2.245526E+00,2.425676E-02
2.9500E-08,0.000000E+00,2.245526E+00,2.646192E-02
3.0000E-08,0.000000E+00,2.072793E+00,2.425676E-02
3.0500E-08,0.000000E+00,2.072793E+00,2.425676E-02
3.1000E-08,-8.547080E-02,2.072793E+00,2.425676E-02
3.1500E-08,-8.547080E-02,2.159160E+00,2.646192E-02
3.2000E-08,0.000000E+00,2.159160E+00,2.646192E-02
3.2500E-08,0.000000E+00,2.159160E+00,2.425676E-02
3.3000E-08,0.000000E+00,2.159160E+00,2.425676E-02
3.3500E-08,-8.547080E-02,2.159160E+00,2.425676E-02
3.4000E-08,-8.547080E-02,2.245526E+00,2.425676E-02
3.4500E-08,0.000000E+00,2.159160E+00,2.425676E-02
3.5000E-08,-8.547080E-02,2.072793E+00,2.205160E-02
3.5500E-08,-8.547080E-02,2.245526E+00,2.425676E-02
3.6000E-08,-8.547080E-02,2.331892E+00,2.425676E-02
3.6500E-08,0.000000E+00,2.159160E+00,2.205160E-02
3.7000E-08,0.000000E+00,2.159160E+00,1.984644E-02
3.7500E-08,0.000000E+00,2.331892E+00,2.205160E-02
3.8000E-08,8.547080E-02,2.245526E+00,1.764128E-02
3.8500E-08,1.709416E-01,2.159160E+00,2.205160E-02
3.9000E-08,8.547080E-02,2.072793E+00,1.984644E-02
3.9500E-08,-8.547080E-02,2.072793E+00,1.984644E-02
4.0000E-08,-8.547080E-02,2.159160E+00,2.425676E-02
4.0500E-08,0.000000E+00,2.245526E+00,2.425676E-02
4.1000E-08,0.000000E+00,2.159160E+00,1.984644E-02
4.1500E-08,0.000000E+00,2.245526E+00,2.205160E-02
4.2000E-08,-8.547080E-02,2.245526E+00,1.984644E-02
4.2500E-08,-8.547080E-02,2.159160E+00,2.205160E-02
4.3000E-08,0.000000E+00,2.159160E+00,2.205160E-02
4.3500E-08,-8.547080E-02,2.159160E+00,1.984644E-02
4.4000E-08,-8.547080E-02,2.245526E+00,1.984644E-02
4.4500E-08,0.000000E+00,2.245526E+00,2.205160E-02
4.5000E-08,0.000000E+00,2.159160E+00,1.984644E-02
4.5500E-08,-8.547080E-02,2.159160E+00,1.543612E-02
4.6000E-08,-8.547080E-02,2.159160E+00,1.764128E-02
4.6500E-08,0.000000E+00,2.072793E+00,1.984644E-02
4.7000E-08,0.000000E+00,2.159160E+00,1.543612E-02
4.7500E-08,0.000000E+00,2.245526E+00,1.764128E-02
